objid,ra,dec,u,g,r,i,z,petroR50_r,petroR90_r,deVAB_r,expAB_r,petroMag_r,fracDeV_r,elliptical,spiral,dered_g,dered_r,dered_i,redshift,concentration,g_r_color,r_i_color
1237645876868481189,352.932114268394,-0.974109930136598,21.11486,19.28022,17.72686,17.18039,16.82147,1.981445,5.918427,0.7593753,0.7812224,17.84181,0.7593753,1,0,19.28022,17.72686,17.18039,0.13916412852116336,2.9719259130932567,1.5533600000000014,0.5464699999999993
1237645876868481174,353.023646169942,-0.863034249936811,18.38627,17.36114,17.01449,16.75051,16.6336,2.708162,6.41736,0.5252687,0.5570457,16.97659,0.5252687,1,0,17.36114,17.01449,16.75051,0.224712795860236,2.3609188856293337,0.34665000000000035,0.2639800000000001
1237645876868481163,353.003790666272,-0.869440713662552,17.88812,16.73207,16.18234,15.81341,15.59107,3.086157,6.55759,0.6345716,0.6358449,16.20109,0.6345716,1,0,16.73207,16.18234,15.81341,0.2056109131596016,2.1179772214393524,0.5497300000000003,0.36893000000000065
1237645876868481120,352.931252437932,-0.906642063410247,18.36916,16.995,16.32917,15.95117,15.71267,4.008277,8.276437,0.7410385,0.7571434,16.39226,0.7410385,1,0,16.995,16.32917,15.95117,0.016044926002649836,2.059697975027605,0.6658299999999997,0.3780000000000019
1237645876868481075,352.989969227738,-1.03512379691959,27.1713,18.69783,16.61781,16.73965,17.71298,8.783439,16.06643,0.3840358,0.2905048,16.98421,0.3840358,0,1,18.69783,16.61781,16.73965,0.2945701145635639,1.8270929041527442,2.080020000000001,-0.12184000000000239
1237645876868481052,352.971279941624,-0.826395499435037,18.43815,16.7926,16.264,15.98592,15.79602,6.550596,15.6645,0.2246238,0.1987911,16.29369,0.2246238,0,1,16.7926,16.264,15.98592,0.09667047546481565,2.387664169535817,0.5286000000000008,0.2780799999999992
1237645876868415589,352.814659260982,-1.01232178772128,19.36007,18.17087,17.64173,17.32955,17.0875,2.422781,5.811244,0.2420797,0.2985686,17.66505,0.2420797,0,1,18.17087,17.64173,17.32955,0.11850021637975758,2.388724673532061,0.5291400000000017,0.3121799999999979
1237645876868415559,352.898022749528,-0.922664848269072,18.40877,16.19472,16.07671,15.78576,14.59756,1.059182,2.893815,0.451575,0.05,16.10383,0.451575,0,1,16.19472,16.07671,15.78576,0.019700366618668294,2.7065691341605076,0.11801000000000172,0.2909499999999987
1237645876868415507,352.805590520642,-0.93732190599176,19.86012,18.04289,17.64388,17.26318,17.65098,4.558461,9.382172,0.4465424,0.4590375,17.50057,0.4465424,0,1,18.04289,17.64388,17.26318,0.11577107761885805,2.0536832863408487,0.39901000000000053,0.3807000000000009
1237645876868350067,352.627836294269,-0.8943410004839,21.48499,19.41457,17.89344,17.38358,16.9656,1.697443,5.172756,0.8535585,0.8390086,17.91255,0.8535585,1,0,19.41457,17.89344,17.38358,0.12407370695989658,3.029533635969107,1.521130000000003,0.5098599999999998
1237645876868349981,352.649676797679,-0.889602888716619,23.0061,17.22664,16.3261,16.0444,23.45179,7.123385,12.35872,0.5803498,0.4815157,16.49897,0.5803498,1,0,17.22664,16.3261,16.0444,0.04336473123886613,1.7325182925076945,0.9005399999999995,0.2817000000000007
1237645876868284561,352.592321804064,-0.97175658637036,20.9428,18.7994,17.51589,16.98984,16.60938,2.12453,6.779808,0.4621684,0.506816,17.58134,0.4621684,0,1,18.7994,17.51589,16.98984,0.064660779273033,3.1762533204030867,1.2835099999999997,0.5260499999999979
1237645876868284519,352.538865512351,-0.975618040416727,17.65846,16.59438,16.16076,15.90629,15.76804,4.653602,10.40276,0.4753546,0.5195568,16.204,0.4753546,0,1,16.59438,16.16076,15.90629,0.09011152635507812,2.2306277422473015,0.4336200000000012,0.25446999999999953
1237645876868284514,352.532390222618,-0.983321715904653,18.41774,17.45809,17.113,16.87824,16.73254,3.699002,8.109076,0.6632704,0.7044871,17.05409,0.6632704,1,0,17.45809,17.113,16.87824,0.05328139706100965,2.186322897642007,0.345089999999999,0.23475999999999786
1237645876868219114,352.350859514289,-0.892238505723763,19.20507,18.18176,17.53662,17.17526,16.90354,3.030102,5.722568,0.6535359,0.6989782,17.65356,0.6535359,1,0,18.18176,17.53662,17.17526,0.14699139838006764,1.8823605260612968,0.6451400000000014,0.3613599999999977
1237645876868219066,352.362402642351,-0.888345304089205,21.17961,18.82528,17.73644,17.28071,16.88725,1.800323,4.796408,0.714738,0.6808941,17.8,0.714738,1,0,18.82528,17.73644,17.28071,0.04600814668197944,2.649476364162638,1.0888399999999976,0.45573000000000263
1237645876868219037,352.429758590894,-0.868601141539107,18.67289,17.47656,16.67485,16.21138,15.92438,2.342968,6.179245,0.6907568,0.7224688,16.86346,0.6907568,1,0,17.47656,16.67485,16.21138,0.22122720605651686,2.6261491868992697,0.8017099999999999,0.46347000000000094
1237645876868219034,352.418627318714,-0.869392099430666,19.75252,17.72578,16.69076,16.22937,15.8349,2.330488,6.810446,0.8800266,0.7760861,16.67995,0.8800266,1,0,17.72578,16.69076,16.22937,0.14057622542554082,2.909840170084188,1.0350199999999994,0.4613900000000015
1237645876868219007,352.337705660685,-0.836570544318353,19.909,17.99705,16.97752,16.50117,16.15464,1.907275,4.908672,0.5680625,0.6164101,17.15561,0.5680625,1,0,17.99705,16.97752,16.50117,0.08871913794048622,2.560233664967206,1.0195300000000032,0.47635000000000005
1237645876868218895,352.378460761262,-1.03383026872663,25.22715,25.4119,15.64455,13.73621,16.35902,8.398875,13.05286,0.6725131,0.5625348,15.60022,0.6725131,1,0,25.4119,15.64455,13.73621,0.04925147359797391,1.5522718556287256,9.767349999999999,1.9083400000000008
1237645876868218894,352.362763897635,-1.0044006062237,22.93978,21.32999,17.78148,17.146,18.57398,2.241751,16.11218,0.1247365,0.183609,17.16617,0.1247365,0,1,21.32999,17.78148,17.146,0.00783044778333796,7.15540039729082,3.5485100000000003,0.6354799999999976
1237645876868153549,352.287706215224,-0.981411765801794,20.63062,18.2988,17.14609,16.6847,16.31917,2.208595,6.317665,0.5835447,0.6317685,17.37408,0.5835447,1,0,18.2988,17.14609,16.6847,0.10910153552437071,2.847597240595963,1.152709999999999,0.4613900000000015
1237645876868153541,352.236886072222,-0.879945704092486,20.7444,19.39257,17.81278,17.29567,16.85975,2.688401,7.299586,0.6157511,0.632305,17.9741,0.6157511,1,0,19.39257,17.81278,17.29567,0.1242349288574912,2.7051524217490286,1.5797899999999991,0.5171099999999988
1237645876868153535,352.191176930446,-0.96256614454397,19.44764,18.32651,17.51487,17.10263,16.82731,2.822692,5.772017,0.5930889,0.6242276,17.54918,0.5930889,1,0,18.32651,17.51487,17.10263,0.03765021951313555,2.037643697232174,0.8116400000000006,0.41223999999999705
1237645876868153501,352.217503412668,-0.929426957993282,20.26339,18.47405,17.53815,17.11434,16.80882,1.446529,3.679564,0.5946159,0.6519871,17.63035,0.5946159,1,0,18.47405,17.53815,17.11434,0.07217906168122232,2.526255227324688,0.9358999999999966,0.42381000000000313
1237645876868087993,352.114121785708,-0.889299530022721,19.69637,18.19779,17.61477,17.26496,17.00153,3.786037,8.925668,0.8711252,0.8466823,17.5612,0.8711252,1,0,18.19779,17.61477,17.26496,0.1455027548718373,2.3513121710879004,0.5830200000000012,0.3498100000000015
1237645876868087930,352.127457658489,-0.95399625170005,19.85201,18.03535,17.01853,16.54194,16.14657,1.794686,5.152242,0.941557,0.9611843,17.15539,0.941557,1,0,18.03535,17.01853,16.54194,0.24576381065658462,2.8549243469501064,1.0168200000000027,0.47658999999999807
1237645876868022428,351.942984172212,-0.849156350719798,21.75705,19.16766,17.80615,17.22641,16.83106,1.868575,5.229509,0.2879254,0.3425161,17.97341,0.2879254,0,1,19.16766,17.80615,17.22641,0.1472716556536613,2.7837637571031233,1.3615100000000027,0.5797399999999975
1237645876868022360,351.877227617743,-0.854125048764562,19.17915,18.19136,17.9513,17.80711,17.69589,1.864974,4.811744,0.3284374,0.3871994,17.89546,0.3284374,0,1,18.19136,17.9513,17.80711,0.22835943751113072,2.5662990526801974,0.24005999999999972,0.14418999999999826
1237645876867956996,351.826503690357,-0.82877640965009,18.87105,17.73062,17.36266,17.14692,17.12989,4.408164,10.50004,0.1685398,0.2046033,17.40083,0.1685398,0,1,17.73062,17.36266,17.14692,0.08780127725728078,2.3765618478625963,0.3679599999999965,0.21574000000000026
1237645876867956907,351.742596349053,-0.867336262572459,19.96103,18.57532,17.91662,17.52093,17.22481,1.947424,4.396177,0.5216019,0.5794734,17.91422,0.5216019,1,0,18.57532,17.91662,17.52093,0.2598571637992102,2.245899202216791,0.6586999999999996,0.3956900000000019
1237645876867956839,351.747542999148,-0.875962389222018,18.13304,16.98319,16.46461,16.0981,15.88201,3.183774,6.024904,0.5402014,0.4972818,16.51446,0.5402014,1,0,16.98319,16.46461,16.0981,0.10606413789482126,1.8864528297869545,0.51858,0.36651000000000167
1237645876867891387,351.677175568187,-1.00413162323778,21.37943,19.21667,17.88924,17.30682,16.96657,1.876588,5.508256,0.9170379,0.9117599,17.94346,0.9170379,1,0,19.21667,17.88924,17.30682,0.18601313766838803,2.9196920578313867,1.3274299999999997,0.5824200000000026
1237645876867891360,351.690519237522,-1.02326928771153,21.04227,18.94415,17.90062,17.45546,17.09238,1.305843,3.241131,0.569453,0.6228235,17.95555,0.569453,1,0,18.94415,17.90062,17.45546,0.06328910593393375,2.463159358677289,1.0435300000000005,0.44516000000000133
1237645876867891350,351.670344771432,-0.846792360218589,20.37268,18.60481,17.66131,17.18764,16.83408,1.610285,4.123086,0.335301,0.3874556,17.60112,0.335301,0,1,18.60481,17.66131,17.18764,0.19168304370002473,2.544667141891704,0.9435000000000002,0.47367000000000203
1237645876867891342,351.667261258634,-0.840621225719214,18.92356,17.96026,17.64869,17.37133,17.21759,2.1229,4.320855,0.6405725,0.6902679,17.64308,0.6405725,1,0,17.96026,17.64869,17.37133,0.13749320841344487,2.025812274368231,0.31157000000000323,0.27735999999999805
1237645876867891297,351.578363046628,-0.831635929971359,20.61283,18.62326,17.64418,17.18051,16.81695,1.68828,4.93025,0.8520699,0.8352164,17.71097,0.8520699,1,0,18.62326,17.64418,17.18051,0.10886824945552984,2.9030842970534896,0.9790799999999997,0.4636699999999969
1237645876867825766,351.417576472866,-0.825919974319251,18.66663,17.60718,17.11916,16.78103,16.61818,2.653645,5.542065,0.6032019,0.6562402,17.14778,0.6032019,1,0,17.60718,17.11916,16.78103,0.2530839694884364,2.080631991124944,0.4880199999999988,0.3381299999999996
1237645876867760237,351.348949936157,-0.886504001707777,19.70126,17.85868,16.91994,16.43861,16.09751,3.127423,7.161819,0.5903987,0.6170162,16.85248,0.5903987,1,0,17.85868,16.91994,16.43861,0.14529477764424495,2.2827074959289844,0.9387399999999992,0.4813299999999998
1237645876867760231,351.33265376685,-0.865145327598615,18.47653,16.97513,16.26732,15.86307,15.58267,4.575378,9.704268,0.7501655,0.7616432,16.28058,0.7501655,1,0,16.97513,16.26732,15.86307,0.06402346491446484,2.1163507130709838,0.7078099999999985,0.4042500000000011
