objid,ra,dec,u,g,r,i,z,petroR50_r,petroR90_r,deVAB_r,expAB_r,petroMag_r,fracDeV_r,elliptical,spiral,dered_g,dered_r,dered_i,redshift,concentration,g_r_color,r_i_color
1237645876862255332,338.779963643753,-0.851133112396117,20.71677,18.93397,17.81878,17.37419,17.01192,1.771221,4.917808,0.8377489,0.8251622,17.90761,0.8377489,1,0,18.93397,17.81878,17.37419,0.1522333739218765,2.7609196163755088,1.1151899999999983,0.4445900000000016
1237645876868677755,353.423911509732,-0.989016553288732,19.79642,17.80856,16.77253,16.30489,15.90985,1.806752,5.014826,0.6654779,0.7161157,16.88126,0.6654779,1,0,17.80856,16.77253,16.30489,0.12807036052849025,2.76032501959541,1.0360300000000002,0.4676399999999994
1237645876868612310,353.340752619156,-0.965853018274269,20.15714,18.355,17.46639,17.00937,16.67168,2.577882,5.76698,0.3381296,0.3901297,17.49845,0.3381296,0,1,18.355,17.46639,17.00937,0.09944784693191835,2.2284555478186414,0.8886099999999999,0.45702
1237645876868612259,353.296026885654,-0.965288908246227,20.48175,18.70294,17.76447,17.35157,16.99523,1.402115,3.649507,0.2801882,0.3384935,17.81923,0.2801882,0,1,18.70294,17.76447,17.35157,0.06639411303078063,2.584426197583058,0.9384700000000024,0.4129000000000005
1237645876868612251,353.263601534518,-0.927965697886324,19.30455,17.96201,17.30278,16.8605,16.59471,1.887735,4.921761,0.4757978,0.516699,17.23569,0.4757978,0,1,17.96201,17.30278,16.8605,0.01677871124740302,2.5934922420675175,0.6592300000000009,0.44228000000000023
1237645876868546780,353.144850443472,-0.998998411337001,20.35332,18.60151,17.67131,17.27197,16.941,2.032391,4.863552,0.1998812,0.2522555,17.68113,0.1998812,0,1,18.60151,17.67131,17.27197,0.17085395917622218,2.3813030903485184,0.9302000000000028,0.3993399999999987
1237645876868546733,353.138225661943,-1.0233913376,20.53809,18.45641,17.50341,17.08888,16.74739,1.737661,5.10792,0.9099174,0.9050018,17.53166,0.9099174,1,0,18.45641,17.50341,17.08888,0.05955877071095281,2.9227178497431714,0.953000000000003,0.4145299999999992
1237645876868546717,353.105242280094,-0.84702056105098,16.9795,15.96732,15.65128,15.49121,15.37567,5.674353,14.25163,0.5499978,0.5438972,15.54789,0.5499978,1,0,15.96732,15.65128,15.49121,0.13873161859157226,2.507168361993001,0.316040000000001,0.16006999999999927
1237645876868546617,353.187619063547,-0.979389485573727,17.25063,16.48151,16.10322,15.95745,15.79753,2.444354,6.35018,0.9409673,0.910974,16.29115,0.9409673,1,0,16.48151,16.10322,15.95745,0.07351692012656592,2.5873121807204664,0.3782899999999998,0.14577000000000062
1237645876868546598,353.162108903737,-0.938443895309548,21.4263,19.44363,17.91184,17.32112,16.96316,3.266638,11.3927,0.8355253,0.9746786,17.86316,0.8355253,1,0,19.44363,17.91184,17.32112,0.15847945180568387,3.476948018059975,1.5317899999999973,0.590720000000001
